"Timestamp","1. W jaki sposób najczęściej korzystasz z komputera? (proszę zaznacz odpowiedź najbliższą prawdy)","2. Jakiego systemu operacyjnego używasz?","3. Czy instalujesz samodzielnie wszystkie programy na swoim komputerze?","4. Czy kiedykolwiek znalazłeś/aś zainstalowany program którego nie rozpoznałeś/aś?","5. Jak bardzo legalność oprogramowania na Twoim komputerze ma dla Ciebie znaczenie?","6. Jak bardzo licencja oprogramowania ma dla Ciebie znaczenie?","7. Jaki problem uważasz za najważniejszy dla Ciebie w kontekście licencji?","8. Jak wyszukujesz informacji o licencji oprogramowania zainstalowanego na Twoim komputerze?","9. Czy zdarza Ci się mieć problem ze znalezieniem licencji/gwarancji oprogramowania którego używasz?","10. Czy w dowolnej chwili jesteś w stanie zestawić terminy ważności licencji na każdy program którego używasz/masz zainstalowany na komputerze?"
"2018/04/03 3:36:14 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, kiedyś zainstalowałem i o nim zapomniałem","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 4:03:41 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","pod czas instalacji lub przed nią ogarniam","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 4:03:51 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","pod czas instalacji lub przed nią ogarniam","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 4:04:08 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","nigdy o tym nie myślałem","Generalnie nie dbam o szczegóły.","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 4:05:51 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","są zbyt długie i trudne do zrozumienia","przeglądam wpisy w ustawieniach danego programu","tak","nie"
"2018/04/03 4:12:26 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 4:15:03 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","mam zapisane dane w pliku i je przeszukuję","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 4:27:00 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 7:16:51 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 7:24:43 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 7:27:59 PM GMT+2","tworzę obrazy, muzykę, filmy","Mac","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 7:28:25 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","szukam informacji o programie w internecie","nie","nie"
"2018/04/03 7:28:38 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie, dzielę użytek komputera z inną osobą lub osobami","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 7:29:19 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","bardzo ważne","nie mam problemów z licencjami","przeglądam wpisy w ustawieniach danego programu","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 7:29:54 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","nie znam się na tym, proszę o pomoc inną osobę","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 7:31:27 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Mac","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 7:33:47 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 7:36:10 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 7:37:50 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 7:38:06 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","przeglądam wpisy w ustawieniach danego programu","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 7:40:47 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","mało ważne","Za dużo kosztują","nigdy nie szukam tej informacji","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 7:40:54 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 7:41:20 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 7:41:58 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nieważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 7:43:48 PM GMT+2","tworzę obrazy, muzykę, filmy","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","mam zapisane dane w pliku i je przeszukuję","nie","nie"
"2018/04/03 7:44:01 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 7:50:14 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Linux;Mac","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","Niektóre licencje nie udostępniają kodu źródłowego programu ","/usr/share/licenses/common","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 7:50:28 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","nigdy o tym nie myślałem","są zbyt długie i trudne do zrozumienia","nigdy nie szukam tej informacji","tak","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 7:51:36 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","nieważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 7:58:33 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Mac","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 7:59:46 PM GMT+2","nie używam komputera","Unix","Proszę o to mamę","Tak, mama mi zainstalowała za karę","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","nie","tak, mam te dane spisane"
"2018/04/03 7:59:55 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","Nie wszystkie, ale większość instaluje sama","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","mało ważne","są zbyt długie i trudne do zrozumienia","szukam informacji o programie w internecie","nie","tak, ale może mi to zająć mnóstwo czasu i nie wiem jaki będzie efekt"
"2018/04/03 8:00:40 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows;Linux","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","całkiem ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","nie","nie"
"2018/04/03 8:00:46 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Windows;Linux","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","nie","tak, bardzo szybko, wiem gdzie szukać tych informacji"
"2018/04/03 8:01:19 PM GMT+2","tworzę lub nadzoruję pracę aplikacji/oprogramowania","Linux","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","szukam informacji o programie w internecie","tak","nie"
"2018/04/03 8:02:10 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, kiedyś zainstalowałem na próbę i o nim zapomniałem","mało ważne","mało ważne","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 8:02:36 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","całkiem ważne","całkiem ważne","nie mam problemów z licencjami","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 8:03:12 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","nigdy o tym nie myślałem","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 8:04:18 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","tak, musiało to być oprogramowanie dodawane na dokładkę przez inny instalator","mało ważne","nigdy o tym nie myślałem","brak mi czasu na szczegółowe zapoznanie się z licencją","nigdy nie szukam tej informacji","tak","nie"
"2018/04/03 8:11:01 PM GMT+2","używam przeglądarki internetowej i edytorów tekstu","Windows","tak","nie, w pełni panuję nad tym co mam zainstalowane/wiem, co instalują inne osoby","bardzo ważne","bardzo ważne","nie mam problemów z licencjami","mam zapisane dane w pliku i je przeszukuję","nie","tak, mam te dane spisane"
